umsatz_im_gastgewerbe_nach_ausgewhlten_wirtschaftszweigen,preisbereinigt_real,col_3,col_4,col_5,col_6
Datum;Hotels,Gasth�feundPensionen,Messzahlen2015=100;Ferienunterk�nfteund�hnlicheBeherbergungsst�tten,Messzahlen2015=100;Restaurants,Gastst�tten,Imbissstuben
01/03/2000;110,0;94,2;147,0;104,9;181,9
01/04/2000;111,0;118,8;157,5;93,6;182,8
01/05/2000;140,4;146,4;166,0;107,8;185,8
01/06/2000;134,3;164,7;165,0;100,5;197,5
01/07/2000;127,6;171,6;165,5;100,6;187,2
01/08/2000;131,9;177,3;165,3;97,1;180,6
01/09/2000;153,7;176,0;162,4;109,0;178,1
01/10/2000;141,1;141,3;158,3;103,7;180,6
01/11/2000;112,7;81,5;141,7;104,1;167,0
01/12/2000;112,7;76,3;162,0;102,6;194,2
01/01/2001;97,5;82,4;132,2;94,5;164,8
01/02/2001;96,2;84,4;130,1;92,7;166,6
01/03/2001;113,6;89,4;145,1;103,2;180,7
01/04/2001;112,1;120,8;151,7;94,8;176,3
01/05/2001;137,2;138,5;165,9;103,8;186,7
01/06/2001;130,7;156,0;162,8;101,2;182,6
01/07/2001;126,7;173,6;166,3;101,4;190,1
01/08/2001;129,3;174,7;167,4;99,1;177,9
01/09/2001;142,9;161,6;155,7;103,7;175,8
01/10/2001;135,8;140,2;159,1;100,7;184,3
01/11/2001;110,9;74,8;143,7;99,6;176,8
01/12/2001;108,0;70,1;162,9;93,5;199,3
01/01/2002;92,6;76,5;125,3;88,1;159,1
01/02/2002;93,7;77,2;120,8;88,4;155,4
01/03/2002;105,1;98,9;140,2;93,3;172,7
01/04/2002;111,1;108,3;139,1;96,8;166,3
01/05/2002;122,6;140,6;152,8;91,4;175,6
01/06/2002;123,1;146,6;144,5;95,2;169,1
01/07/2002;117,5;168,5;148,2;94,8;160,8
01/08/2002;120,7;168,0;149,5;89,5;168,7
01/09/2002;135,4;158,6;142,4;96,7;162,1
01/10/2002;123,9;134,4;135,8;94,9;169,1
01/11/2002;100,7;72,0;123,4;94,0;159,6
01/12/2002;96,8;67,2;138,4;89,6;176,4
01/01/2003;82,7;75,3;112,6;85,7;157,3
01/02/2003;84,9;80,9;110,3;85,6;152,6
01/03/2003;96,7;96,0;125,5;90,1;166,7
01/04/2003;96,5;100,7;126,1;88,2;165,4
01/05/2003;117,7;127,3;139,1;89,8;176,8
01/06/2003;113,0;140,1;135,2;91,0;171,6
01/07/2003;106,3;143,9;138,0;94,5;166,1
01/08/2003;109,2;144,7;140,4;86,3;172,6
01/09/2003;124,0;139,4;132,2;97,4;168,5
01/10/2003;118,5;129,8;128,6;95,3;173,1
01/11/2003;96,0;80,8;118,5;91,1;161,4
01/12/2003;95,0;89,3;132,4;90,5;179,5
01/01/2004;78,7;76,7;108,2;82,4;151,1
01/02/2004;85,4;84,5;108,8;84,1;147,7
01/03/2004;97,4;105,9;115,3;93,6;150,2
01/04/2004;99,4;113,7;123,3;88,7;156,3
01/05/2004;121,0;126,8;132,5;92,0;166,1
01/06/2004;111,5;139,2;123,9;91,6;155,1
01/07/2004;108,3;143,1;131,7;93,0;160,9
01/08/2004;109,4;143,6;131,9;84,5;156,9
01/09/2004;126,6;144,1;126,8;95,9;154,4
01/10/2004;119,1;123,4;125,4;94,0;161,0
01/11/2004;95,4;86,6;112,9;92,0;148,0
01/12/2004;93,3;76,9;127,7;92,2;169,8
01/01/2005;77,7;75,9;105,0;83,3;140,0
01/02/2005;80,4;79,3;98,7;84,5;133,8
01/03/2005;89,4;97,6;113,6;89,0;145,0
01/04/2005;99,0;102,5;117,8;92,3;147,7
01/05/2005;111,5;129,1;127,6;89,6;155,4
01/06/2005;109,2;133,2;122,4;98,9;144,3
01/07/2005;105,3;152,7;131,2;90,6;153,2
01/08/2005;109,2;149,0;127,9;88,0;151,5
01/09/2005;124,8;142,1;125,8;100,9;149,5
01/10/2005;116,0;128,3;124,1;92,2;153,2
01/11/2005;91,1;86,0;108,7;93,9;137,0
01/12/2005;95,9;76,4;125,1;96,2;165,7
01/01/2006;79,2;75,7;101,0;84,2;133,3
01/02/2006;81,4;74,9;97,2;84,2;133,3
01/03/2006;92,9;85,2;106,6;93,7;139,2
01/04/2006;96,6;103,6;116,8;89,5;145,9
01/05/2006;118,2;127,0;123,1;97,6;149,1
01/06/2006;113,6;134,5;121,5;94,3;151,5
01/07/2006;112,3;150,8;129,4;94,9;146,4
01/08/2006;108,4;155,4;124,0;89,9;144,5
01/09/2006;128,7;150,6;125,5;103,1;149,9
01/10/2006;118,4;127,3;120,8;94,6;148,7
01/11/2006;90,7;74,7;108,3;95,5;136,9
01/12/2006;99,8;74,2;126,3;95,4;168,0
01/01/2007;79,4;70,1;98,2;88,0;123,2
01/02/2007;82,6;71,6;96,8;86,4;127,0
01/03/2007;97,4;91,0;110,2;97,8;137,0
01/04/2007;101,0;103,0;117,4;89,2;139,5
01/05/2007;115,2;121,7;120,9;96,3;143,7
01/06/2007;111,6;133,7;119,4;98,6;138,6
01/07/2007;109,5;148,0;123,5;95,5;135,6
01/08/2007;111,7;150,8;122,2;90,9;142,7
01/09/2007;124,3;131,8;118,1;99,6;135,6
01/10/2007;121,2;119,1;116,2;99,7;141,0
01/11/2007;96,1;77,1;106,6;98,8;130,5
01/12/2007;100,4;67,8;121,9;94,6;156,0
01/01/2008;81,1;70,2;95,7;88,6;116,1
01/02/2008;87,1;75,9;98,0;90,0;123,3
01/03/2008;90,2;89,3;106,1;89,0;126,4
01/04/2008;101,5;97,6;106,1;99,1;126,6
01/05/2008;117,3;129,5;121,4;93,6;142,8
01/06/2008;112,0;131,5;113,0;102,1;126,5
01/07/2008;108,0;147,7;119,9;94,9;128,0
01/08/2008;109,9;151,8;121,9;88,2;135,7
01/09/2008;122,6;133,5;112,3;102,1;126,4
01/10/2008;115,0;121,3;112,1;98,5;133,8
01/11/2008;92,8;75,9;102,8;96,2;124,3
01/12/2008;93,2;67,8;115,4;92,5;142,0
01/01/2009;70,6;66,2;88,2;80,6;106,7
01/02/2009;74,5;70,1;85,5;81,0;105,1
01/03/2009;84,5;76,9;96,1;88,6;107,5
01/04/2009;86,3;96,0;104,9;84,0;115,8
01/05/2009;104,7;119,8;114,0;90,3;126,0
01/06/2009;100,0;128,9;107,2;92,4;112,6
01/07/2009;101,0;148,5;114,8;91,3;117,2
01/08/2009;103,8;151,0;116,2;85,1;124,2
01/09/2009;112,3;130,6;106,9;92,7;118,7
01/10/2009;105,0;116,9;104,3;91,7;120,2
01/11/2009;86,6;68,2;94,3;90,6;109,8
01/12/2009;89,9;61,1;107,6;90,8;130,7
01/01/2010;68,9;59,0;83,3;79,8;96,8
01/02/2010;73,7;65,2;82,4;82,7;97,0
01/03/2010;83,1;75,3;95,0;93,1;100,7
01/04/2010;90,5;90,4;100,0;86,7;112,7
01/05/2010;100,6;114,2;106,5;89,5;120,5
01/06/2010;102,0;123,7;103,8;96,3;109,6
01/07/2010;102,6;163,2;114,0;90,8;119,6
01/08/2010;102,3;154,8;111,7;87,5;116,4
01/09/2010;116,9;124,6;106,6;96,7;117,8
01/10/2010;110,9;113,3;107,3;94,0;121,5
01/11/2010;91,3;63,8;95,2;93,3;104,6
01/12/2010;89,8;64,2;103,6;94,5;120,5
01/01/2011;73,4;59,2;87,4;81,3;96,4
01/02/2011;76,5;63,6;84,1;84,1;93,0
01/03/2011;88,1;70,4;97,4;92,7;104,7
01/04/2011;90,6;98,6;103,7;87,3;118,6
01/05/2011;110,3;110,5;108,6;98,3;113,0
01/06/2011;104,7;129,8;108,3;91,8;119,6
01/07/2011;105,3;157,0;114,5;93,5;121,2
01/08/2011;102,1;153,1;111,1;85,9;118,5
01/09/2011;116,8;126,5;110,0;97,1;121,4
01/10/2011;110,7;116,8;107,7;95,1;123,5
01/11/2011;92,2;64,5;97,2;96,3;104,3
01/12/2011;92,9;64,8;110,2;96,5;127,4
01/01/2012;74,3;60,3;86,1;84,4;94,6
01/02/2012;79,9;66,2;84,1;88,2;95,5
01/03/2012;91,6;76,0;98,4;94,6;106,0
01/04/2012;92,8;96,3;99,7;87,5;110,3
01/05/2012;111,4;114,8;109,1;94,3;117,7
01/06/2012;107,1;122,9;104,9;95,0;114,2
01/07/2012;105,6;143,3;110,9;91,9;113,5
01/08/2012;108,2;148,9;111,2;89,0;119,2
01/09/2012;120,2;120,8;108,8;98,4;116,9
01/10/2012;109,7;111,7;103,6;96,3;114,4
01/11/2012;92,8;68,4;95,4;97,9;105,2
01/12/2012;93,0;71,9;110,5;91,8;128,9
01/01/2013;75,2;54,7;83,2;86,0;85,4
01/02/2013;77,7;58,9;80,9;85,1;86,8
01/03/2013;88,2;74,4;96,5;90,2;101,8
01/04/2013;95,4;81,9;96,2;93,1;101,1
01/05/2013;102,4;108,4;107,0;91,8;112,2
01/06/2013;105,1;111,0;105,8;97,0;107,0
01/07/2013;104,9;154,4;110,8;95,5;107,5
01/08/2013;108,4;148,2;112,5;86,1;114,4
01/09/2013;116,8;119,9;106,3;98,8;109,6
01/10/2013;112,8;110,1;102,4;99,9;107,9
01/11/2013;91,9;62,0;95,7;98,4;99,7
01/12/2013;90,9;65,9;108,1;94,6;118,3
01/01/2014;74,8;55,9;85,2;86,5;85,5
01/02/2014;76,2;62,3;82,8;90,7;85,1
01/03/2014;87,8;71,6;96,2;96,7;96,9
01/04/2014;89,9;96,0;96,2;90,4;99,7
01/05/2014;111,8;106,9;107,1;97,0;111,4
01/06/2014;105,5;118,8;102,6;97,5;106,6
01/07/2014;106,7;138,4;108,6;99,2;107,8
01/08/2014;110,3;150,8;112,3;88,9;116,4
01/09/2014;121,8;121,1;104,7;102,2;108,7
01/10/2014;112,8;113,7;104,3;103,1;109,0
01/11/2014;94,7;68,2;96,1;100,2;97,2
01/12/2014;92,5;70,3;109,3;100,5;113,3
01/01/2015;75,2;65,0;83,8;89,1;85,6
01/02/2015;78,6;71,6;81,7;90,2;81,5
01/03/2015;89,4;83,6;91,2;99,4;89,3
01/04/2015;91,5;96,3;96,8;94,6;99,8
01/05/2015;108,8;111,1;109,0;96,8;108,9
01/06/2015;112,4;113,4;104,1;105,8;100,7
01/07/2015;109,6;139,7;111,4;103,7;104,0
01/08/2015;112,3;140,1;113,3;93,1;115,2
01/09/2015;119,9;115,1;103,9;107,7;102,8
01/10/2015;113,6;117,3;103,3;107,3;106,2
01/11/2015;95,1;71,4;93,4;105,5;91,4
01/12/2015;93,6;75,4;108,1;106,8;114,7
01/01/2016;77,1;60,3;83,2;93,0;82,9
01/02/2016;82,2;62,6;82,7;96,3;82,9
01/03/2016;92,7;77,5;92,1;99,6;90,7
01/04/2016;100,4;83,1;97,1;102,7;99,2
01/05/2016;108,1;109,4;106,6;98,8;105,7
01/06/2016;111,2;109,7;101,9;108,3;95,9
01/07/2016;111,8;140,2;113,9;99,4;107,3
01/08/2016;110,8;144,2;110,7;93,2;104,5
01/09/2016;126,4;119,7;108,0;110,4;108,1
01/10/2016;115,7;110,5;103,9;102,0;107,6
01/11/2016;96,5;60,8;91,4;105,4;89,9
01/12/2016;95,9;60,8;107,1;106,6;114,2
01/01/2017;79,1;55,5;83,1;93,2;79,2
01/02/2017;80,8;60,1;83,5;93,9;84,0
01/03/2017;98,2;72,3;97,0;104,9;91,1
01/04/2017;96,5;91,8;102,9;93,6;97,9
01/05/2017;117,1;104,5;107,9;105,2;99,5
01/06/2017;110,0;119,3;109,8;104,6;101,1
01/07/2017;112,5;138,9;115,5;100,6;105,5
01/08/2017;108,6;139,0;111,7;98,1;101,5
01/09/2017;125,5;115,6;108,3;112,0;106,0
01/10/2017;116,2;103,2;106,8;102,8;105,3
01/11/2017;97,4;62,1;94,0;107,3;89,3
01/12/2017;99,2;63,8;109,9;110,1;112,8
01/01/2018;81,1;59,4;87,5;92,3;79,6
01/02/2018;83,1;66,4;84,0;92,6;81,1
01/03/2018;95,4;79,6;97,1;99,3;90,8
01/04/2018;103,3;84,6;104,5;98,5;95,4
01/05/2018;108,8;107,0;111,3;99,9;100,0
01/06/2018;115,3;113,0;108,3;110,9;102,0
01/07/2018;113,7;131,9;115,2;103,6;98,8
01/08/2018;113,4;129,9;113,5;101,3;105,2
01/09/2018;127,7;121,7;109,7;110,7;106,3
01/10/2018;117,2;104,6;106,6;108,0;102,9
01/11/2018;100,5;66,4;99,1;110,3;93,3
01/12/2018;99,0;65,3;112,6;112,5;112,4
01/01/2019;82,9;58,3;86,8;96,3;78,8
01/02/2019;85,0;64,2;88,8;97,8;82,2
01/03/2019;100,5;72,6;100,0;104,9;94,1
01/04/2019;100,7;98,2;102,7;99,4;96,5
01/05/2019;113,0;103,0;108,9;109,1;99,3
01/06/2019;114,7;122,9;111,3;107,2;100,6
01/07/2019;111,8;136,1;113,8;104,2;101,0
01/08/2019;112,0;133,2;115,9;101,6;106,8
01/09/2019;123,4;117,5;108,2;115,1;102,0
01/10/2019;118,6;105,6;107,4;109,4;104,7
01/11/2019;104,0;63,3;100,5;111,8;97,8
01/12/2019;99,8;67,0;113,2;108,9;114,7
01/01/2020;80,7;55,2;89,9;94,0;84,1
01/02/2020;86,6;66,8;89,4;95,5;86,4
01/03/2020;49,3;41,4;53,9;75,1;44,1
01/04/2020;11,7;15,4;29,6;47,0;15,2
01/05/2020;21,6;32,8;51,7;51,1;28,4
01/06/2020;53,6;71,7;77,2;59,4;49,8
01/07/2020;77,9;110,5;95,9;63,6;60,9
01/08/2020;88,0;122,5;98,1;67,9;63,5
01/09/2020;89,3;98,4;93,2;79,8;60,9
01/10/2020;72,8;83,5;83,5;73,5;52,2
01/11/2020;18,9;19,7;36,2;65,7;16,1
01/12/2020;16,6;17,6;34,4;63,1;14,0
01/01/2021;12,6;15,0;36,1;52,8;12,2
01/02/2021;13,8;12,6;34,9;54,3;12,7
01/03/2021;18,7;14,3;42,2;62,3;15,2
01/04/2021;17,6;15,2;40,5;58,3;15,1
01/05/2021;26,2;32,4;52,6;63,0;22,6
01/06/2021;61,4;74,8;79,0;70,3;52,2
01/07/2021;83,0;132,2;96,2;70,9;65,8
01/08/2021;96,3;156,7;96,9;71,5;65,6
01/09/2021;105,1;116,7;91,2;84,4;66,3
01/10/2021;102,6;124,3;92,6;82,2;70,0
01/11/2021;83,0;65,7;73,1;83,6;53,6
01/12/2021;55,9;46,7;71,5;75,2;45,2
01/01/2022;47,5;53,8;71,5;77,8;43,2
01/02/2022;52,8;56,8;74,4;80,0;47,2
01/03/2022;69,0;73,6;85,0;86,4;58,5
01/04/2022;88,4;102,3;97,2;87,2;70,1
01/05/2022;111,4;115,3;108,7;99,0;79,1
01/06/2022;115,9;131,7;106,2;98,1;78,0
01/07/2022;116,1;142,5;112,0;94,1;81,8
01/08/2022;116,8;150,7;108,1;88,3;78,7
01/09/2022;123,6;126,9;97,7;102,8;71,8
01/10/2022;115,8;119,0;100,3;95,9;75,4
01/11/2022;95,1;76,8;85,8;97,6;63,5
01/12/2022;93,4;75,0;93,2;95,6;70,4
01/01/2023;70,6;66,8;79,5;85,7;53,5
01/02/2023;77,3;69,2;78,2;85,6;55,1
01/03/2023;91,6;82,5;88,2;95,0;60,4
01/04/2023;97,2;102,5;94,9;85,3;66,6
01/05/2023;112,6;111,3;103,6;95,7;70,5
01/06/2023;115,6;123,2;102,1;101,3;71,6
01/07/2023;111,8;135,6;107,5;93,3;71,5
01/08/2023;109,3;140,1;102,0;86,0;66,9
01/09/2023;125,3;123,7;101,8;101,6;73,6
01/10/2023;113,2;114,6;97,1;93,3;65,7
01/11/2023;94,8;71,8;84,3;98,9;58,9
01/12/2023;94,7;71,0;94,8;96,8;70,7
01/01/2024;74,1;64,8;74,9;86,3;51,3
01/02/2024;80,0;67,7;77,6;88,3;55,5
01/03/2024;93,5;82,9;88,6;90,7;61,7
01/04/2024;95,3;90,4;88,0;90,9;63,8
01/05/2024;108,3;110,5;98,4;92,3;72,2
01/06/2024;116,2;114,5;95,0;103,0;70,7
01/07/2024;112,6;129,1;99,0;94,9;69,7
01/08/2024;111,4;134,9;99,0;86,8;70,3
01/09/2024;121,3;118,3;91,1;99,9;67,7
01/10/2024;110,5;110,1;89,4;92,8;65,7
01/11/2024;98,1;72,0;84,1;97,6;62,9
01/12/2024;95,8;72,7;91,5;92,5;70,8
01/01/2025;73,3;64,0;73,6;88,6;50,6
01/02/2025;76,8;61,3;73,6;86,0;52,3
01/03/2025;91,6;74,5;85,1;91,7;59,1
01/04/2025;96,9;96,4;88,0;89,7;63,3
01/05/2025;109,5;104,6;96,5;95,6;70,7
01/06/2025;110,3;118,4;91,8;97,4;67,5
01/07/2025;108,2;128,4;96,3;95,4;67,2
01/08/2025;107,5;135,9;97,8;83,6;68,4
01/09/2025;114,9;116,3;87,3;100,6;66,1
01/10/2025;112,6;112,2;86,7;96,4;63,9
01/11/2025;94,6;69,7;82,4;98,6;61,1
01/12/2025;94,6;70,2;89,3;94,9;70,2
01/01/2026;71,7;59,4;68,9;85,0;50,1
01/02/2026;76,2;62,8;68,3;82,3;50,7
