Baupreisindizes, Ingenieurbau sowie Instandhaltung von Wohngebäuden einschließlich Umsatzsteuer
Datum;Straßen, 2021=100;Brücken im Straßenbau, 2021=100;Ortskanäle, 2021=100;Instandhaltung von Wohngebäuden, 2021=100;Instandhaltungen in einer Wohnung, 2021=100
01/08/2000;60,6;60,3;63,6;57,5;70,6
01/11/2000;61,0;60,3;63,8;57,6;70,7
01/02/2001;61,0;60,3;63,5;57,7;70,5
01/05/2001;60,8;60,1;63,5;57,8;70,6
01/08/2001;60,8;60,0;63,4;57,9;70,9
01/11/2001;60,8;59,9;63,3;57,9;70,7
01/02/2002;60,8;59,8;63,4;58,1;70,8
01/05/2002;60,8;59,7;63,4;58,1;70,7
01/08/2002;60,7;59,7;63,3;58,1;70,5
01/11/2002;60,5;59,6;63,2;58,1;70,2
01/02/2003;60,5;59,6;63,0;58,3;70,0
01/05/2003;60,5;59,6;63,1;58,4;69,9
01/08/2003;60,5;59,5;63,1;58,5;70,0
01/11/2003;60,4;59,4;63,1;58,5;69,9
01/02/2004;60,5;59,5;63,1;58,6;69,9
01/05/2004;60,4;60,8;63,0;58,9;69,8
01/08/2004;60,5;61,0;63,0;59,2;69,8
01/11/2004;60,5;61,2;63,0;59,3;69,9
01/02/2005;60,5;61,7;63,1;59,8;69,9
01/05/2005;60,5;61,8;63,0;59,8;69,6
01/08/2005;60,7;61,9;63,1;59,9;69,4
01/11/2005;61,2;62,1;63,3;60,0;69,3
01/02/2006;61,9;62,3;63,9;60,3;69,9
01/05/2006;62,6;62,8;64,3;60,7;69,9
01/08/2006;63,4;63,6;65,0;61,2;69,9
01/11/2006;64,0;64,3;65,4;61,7;70,0
01/02/2007;66,4;66,7;67,7;64,5;72,3
01/05/2007;66,9;67,3;68,3;64,8;72,6
01/08/2007;67,3;67,7;68,7;65,1;72,7
01/11/2007;67,7;68,0;68,9;65,4;72,8
01/02/2008;68,8;68,9;69,6;66,1;73,3
01/05/2008;69,3;70,3;70,0;66,5;73,5
01/08/2008;70,7;71,9;71,1;66,9;74,0
01/11/2008;71,1;71,3;71,2;67,1;73,9
01/02/2009;71,5;71,3;71,6;67,6;74,1
01/05/2009;71,4;71,6;71,5;67,7;74,0
01/08/2009;71,7;71,2;71,8;67,9;74,0
01/11/2009;71,7;70,9;71,8;68,0;74,1
01/02/2010;71,7;70,6;71,8;68,3;74,4
01/05/2010;72,0;72,0;72,0;68,7;74,5
01/08/2010;72,1;72,3;72,1;69,0;74,8
01/11/2010;72,2;72,3;72,2;69,3;74,9
01/02/2011;72,7;73,3;72,7;70,1;75,1
01/05/2011;73,6;73,8;73,3;70,7;75,5
01/08/2011;74,4;74,4;73,7;71,2;76,0
01/11/2011;74,6;74,4;73,9;71,6;76,1
01/02/2012;75,7;75,0;74,7;72,4;76,8
01/05/2012;76,5;75,6;75,2;72,9;77,3
01/08/2012;76,8;75,8;75,6;73,2;77,5
01/11/2012;77,2;75,8;75,7;73,6;77,9
01/02/2013;77,7;76,1;76,0;74,4;78,6
01/05/2013;78,2;76,5;76,6;74,9;78,7
01/08/2013;78,8;76,6;76,8;75,2;79,1
01/11/2013;78,9;76,8;77,0;75,5;79,4
01/02/2014;78,9;77,2;77,3;76,2;79,8
01/05/2014;79,2;77,2;77,6;76,6;80,4
01/08/2014;79,7;77,5;78,1;77,0;80,8
01/11/2014;79,7;77,5;78,1;77,2;80,9
01/02/2015;80,0;77,7;78,7;78,0;81,5
01/05/2015;80,1;77,7;79,1;78,3;81,8
01/08/2015;80,2;78,1;79,5;78,6;82,2
01/11/2015;80,3;78,0;79,7;78,9;82,3
01/02/2016;80,4;77,9;80,0;79,7;83,0
01/05/2016;80,6;78,5;80,3;80,2;83,7
01/08/2016;81,1;79,2;80,9;80,6;84,1
01/11/2016;81,4;79,3;81,1;80,8;84,2
01/02/2017;82,5;80,5;82,0;81,9;85,4
01/05/2017;83,6;81,8;83,1;82,5;86,1
01/08/2017;84,4;82,3;84,0;83,3;86,8
01/11/2017;85,1;83,2;84,7;83,6;87,2
01/02/2018;86,7;84,9;86,3;85,0;88,4
01/05/2018;88,1;86,0;87,5;85,8;89,0
01/08/2018;90,1;87,5;89,4;86,6;89,8
01/11/2018;91,1;88,3;90,1;87,2;90,4
01/02/2019;93,2;89,9;92,0;88,7;91,8
01/05/2019;94,3;90,8;93,0;89,5;92,5
01/08/2019;95,1;91,4;93,8;90,2;93,1
01/11/2019;95,3;91,6;94,1;90,7;93,9
01/02/2020;96,3;92,6;95,1;92,2;94,9
01/05/2020;96,6;92,9;95,3;92,7;95,4
01/08/2020;94,2;90,7;93,1;90,7;93,3
01/11/2020;94,1;90,9;93,1;91,2;93,6
01/02/2021;97,7;95,3;96,8;95,1;97,0
01/05/2021;99,0;98,0;98,9;98,7;99,0
01/08/2021;100,8;102,4;101,0;102,0;101,1
01/11/2021;102,6;104,3;103,3;104,3;102,9
01/02/2022;107,2;107,9;107,5;109,0;106,8
01/05/2022;116,0;118,6;114,8;114,4;110,1
01/08/2022;119,0;120,3;117,5;118,0;113,7
01/11/2022;122,0;122,2;120,2;121,3;116,1
01/02/2023;126,0;124,5;124,3;124,8;120,1
01/05/2023;127,7;124,8;125,8;126,7;121,7
01/08/2023;128,6;123,9;126,6;127,7;122,7
01/11/2023;129,6;123,8;127,3;128,5;123,4
01/02/2024;132,3;124,9;129,6;130,4;124,8
01/05/2024;133,3;125,3;130,6;131,4;126,2
01/08/2024;135,0;126,3;132,1;132,4;127,1
01/11/2024;135,6;126,4;132,5;133,1;127,7
01/02/2025;137,8;127,0;134,3;135,2;129,2
01/05/2025;139,2;128,2;135,6;136,4;130,4
01/08/2025;139,7;128,7;136,1;137,4;131,6
01/11/2025;140,3;128,8;136,4;138,5;132,0
01/02/2026;142,9;130,1;138,4;140,8;134,3
