Bruttowertschöpfung im Handel, Gastgewerbe und Verkehr, preisbereinigt
Datum;Originalwert, Kettenindex 2015=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Trend-Konjunktur-Komponente (BV 4.1), Kettenindex 2015=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vorquartal in %;Kalender- und saisonbereinigte Werte (BV 4.1), Kettenindex 2015=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vorquartal in %;Restkomponente (BV 4.1)
01/07/1995;72,24;.;72,07;0,0;72,31;0,6;0,2
01/10/1995;74,99;.;71,94;-0,2;72,08;-0,3;0,1
01/01/1996;66,70;-0,9;71,80;-0,2;71,40;-0,9;-0,4
01/04/1996;73,04;0,1;71,83;0,0;71,93;0,7;0,1
01/07/1996;72,25;0,0;72,02;0,3;71,92;-0,0;-0,1
01/10/1996;75,22;0,3;72,41;0,5;72,52;0,8;0,1
01/01/1997;66,84;0,2;72,66;0,3;72,67;0,2;0,0
01/04/1997;75,03;2,7;72,96;0,4;72,96;0,4;0,0
01/07/1997;73,52;1,8;73,44;0,7;73,30;0,5;-0,1
01/10/1997;76,16;1,2;74,04;0,8;73,85;0,8;-0,2
01/01/1998;70,84;6,0;74,66;0,8;75,06;1,6;0,4
01/04/1998;75,62;0,8;74,92;0,3;74,87;-0,3;-0,0
01/07/1998;75,43;2,6;74,94;0,0;75,00;0,2;0,1
01/10/1998;78,12;2,6;74,80;-0,2;74,90;-0,1;0,1
01/01/1999;70,34;-0,7;74,78;-0,0;74,70;-0,3;-0,1
01/04/1999;76,13;0,7;74,94;0,2;74,56;-0,2;-0,4
01/07/1999;76,17;1,0;75,51;0,8;75,64;1,4;0,1
01/10/1999;79,99;2,4;76,40;1,2;76,54;1,2;0,1
01/01/2000;73,64;4,7;77,30;1,2;77,08;0,7;-0,2
01/04/2000;80,16;5,3;78,13;1,1;78,53;1,9;0,4
01/07/2000;78,58;3,2;78,86;0,9;78,80;0,3;-0,1
01/10/2000;80,75;1,0;79,69;1,0;79,07;0,3;-0,6
01/01/2001;77,11;4,7;80,77;1,4;81,26;2,8;0,5
01/04/2001;83,48;4,1;81,63;1,1;81,74;0,6;0,1
01/07/2001;81,71;4,0;82,17;0,7;81,97;0,3;-0,2
01/10/2001;85,02;5,3;82,40;0,3;82,68;0,9;0,3
01/01/2002;76,47;-0,8;82,55;0,2;82,43;-0,3;-0,1
01/04/2002;84,77;1,5;82,88;0,4;82,76;0,4;-0,1
01/07/2002;83,85;2,6;83,11;0,3;83,13;0,4;0,0
01/10/2002;86,43;1,7;83,37;0,3;83,53;0,5;0,2
01/01/2003;77,45;1,3;83,82;0,5;83,67;0,2;-0,2
01/04/2003;85,68;1,1;84,37;0,7;84,13;0,6;-0,2
01/07/2003;86,32;2,9;84,99;0,7;85,31;1,4;0,3
01/10/2003;88,39;2,3;85,50;0,6;85,60;0,3;0,1
01/01/2004;79,74;3,0;85,84;0,4;85,56;-0,0;-0,3
01/04/2004;88,91;3,8;86,14;0,3;86,41;1,0;0,3
01/07/2004;87,07;0,9;86,39;0,3;86,25;-0,2;-0,1
01/10/2004;90,87;2,8;86,85;0,5;86,81;0,7;-0,0
01/01/2005;80,99;1,6;87,36;0,6;87,62;0,9;0,3
01/04/2005;91,63;3,1;87,95;0,7;87,81;0,2;-0,1
01/07/2005;89,62;2,9;89,07;1,3;89,08;1,4;0,0
01/10/2005;93,05;2,4;90,57;1,7;89,76;0,8;-0,8
01/01/2006;87,90;8,5;92,85;2,5;93,24;3,9;0,4
01/04/2006;97,46;6,4;95,11;2,4;95,36;2,3;0,2
01/07/2006;96,47;7,6;96,75;1,7;96,60;1,3;-0,1
01/10/2006;102,36;10,0;97,74;1,0;98,72;2,2;1,0
01/01/2007;90,66;3,1;97,97;0,2;97,22;-1,5;-0,8
01/04/2007;100,22;2,8;98,50;0,5;98,37;1,2;-0,1
01/07/2007;99,13;2,8;99,05;0,6;98,89;0,5;-0,2
01/10/2007;103,17;0,8;99,66;0,6;99,40;0,5;-0,3
01/01/2008;92,88;2,4;100,10;0,4;100,73;1,3;0,6
01/04/2008;102,85;2,6;99,58;-0,5;99,67;-1,1;0,1
01/07/2008;99,91;0,8;98,25;-1,3;98,49;-1,2;0,2
01/10/2008;99,81;-3,3;96,32;-2,0;96,18;-2,3;-0,1
01/01/2009;86,64;-6,7;94,54;-1,8;94,26;-2,0;-0,3
01/04/2009;94,46;-8,2;93,18;-1,4;93,06;-1,3;-0,1
01/07/2009;93,90;-6,0;92,09;-1,2;91,98;-1,2;-0,1
01/10/2009;96,60;-3,2;91,45;-0,7;92,21;0,2;0,8
01/01/2010;82,71;-4,5;90,77;-0,7;90,12;-2,3;-0,6
01/04/2010;92,53;-2,0;90,62;-0,2;90,55;0,5;-0,1
01/07/2010;93,49;-0,4;91,11;0,5;91,42;1,0;0,3
01/10/2010;95,28;-1,4;92,06;1,0;91,48;0,1;-0,6
01/01/2011;88,06;6,5;93,28;1,3;93,81;2,6;0,5
01/04/2011;96,33;4,1;94,17;1,0;94,19;0,4;0,0
01/07/2011;96,86;3,6;95,22;1,1;95,05;0,9;-0,2
01/10/2011;98,14;3,0;96,23;1,1;95,95;0,9;-0,3
01/01/2012;92,70;5,3;97,13;0,9;97,54;1,7;0,4
01/04/2012;99,39;3,2;97,56;0,4;97,73;0,2;0,2
01/07/2012;98,48;1,7;97,44;-0,1;97,35;-0,4;-0,1
01/10/2012;99,35;1,2;97,08;-0,4;97,34;-0,0;0,3
01/01/2013;89,36;-3,6;96,70;-0,4;96,19;-1,2;-0,5
01/04/2013;98,84;-0,6;96,81;0,1;96,78;0,6;-0,0
01/07/2013;99,10;0,6;97,14;0,3;97,36;0,6;0,2
01/10/2013;99,63;0,3;97,49;0,4;97,31;-0,1;-0,2
01/01/2014;91,85;2,8;97,95;0,5;98,14;0,9;0,2
01/04/2014;99,61;0,8;98,38;0,4;98,32;0,2;-0,1
01/07/2014;100,32;1,2;98,86;0,5;98,69;0,4;-0,2
01/10/2014;102,09;2,5;99,34;0,5;99,71;1,0;0,4
01/01/2015;93,39;1,7;99,59;0,2;99,49;-0,2;-0,1
01/04/2015;100,99;1,4;99,81;0,2;99,61;0,1;-0,2
01/07/2015;101,89;1,6;100,23;0,4;100,45;0,8;0,2
01/10/2015;103,73;1,6;100,71;0,5;100,36;-0,1;-0,3
01/01/2016;94,91;1,6;101,34;0,6;101,54;1,2;0,2
01/04/2016;105,38;4,3;101,80;0,5;102,05;0,5;0,2
01/07/2016;103,12;1,2;102,16;0,3;101,98;-0,1;-0,2
01/10/2016;105,59;1,8;102,58;0,4;102,60;0,6;0,0
01/01/2017;97,87;3,1;103,11;0,5;102,96;0,4;-0,1
01/04/2017;105,57;0,2;103,85;0,7;103,70;0,7;-0,2
01/07/2017;105,09;1,9;104,67;0,8;104,83;1,1;0,2
01/10/2017;107,68;2,0;105,30;0,6;105,66;0,8;0,4
01/01/2018;99,29;1,5;105,52;0,2;105,38;-0,3;-0,1
01/04/2018;108,42;2,7;105,76;0,2;106,02;0,6;0,3
01/07/2018;105,94;0,8;106,17;0,4;105,66;-0,3;-0,5
01/10/2018;109,05;1,3;107,10;0,9;106,43;0,7;-0,7
01/01/2019;103,01;3,7;108,57;1,4;109,26;2,7;0,7
01/04/2019;111,05;2,4;109,60;1,0;109,60;0,3;-0,0
01/07/2019;111,36;5,1;109,73;0,1;109,83;0,2;0,1
01/10/2019;112,40;3,1;108,79;-0,9;109,22;-0,6;0,4
01/01/2020;100,31;-2,6;107,26;-1,4;107,16;-1,9;-0,1
01/04/2020;93,66;-15,7;105,48;-1,7;92,65;-13,5;-12,8
01/07/2020;106,07;-4,8;103,39;-2,0;103,49;11,7;0,1
01/10/2020;106,48;-5,3;101,74;-1,6;101,87;-1,6;0,1
01/01/2021;92,00;-8,3;101,05;-0,7;100,09;-1,7;-1,0
01/04/2021;102,92;9,9;101,74;0,7;101,45;1,4;-0,3
01/07/2021;106,68;0,6;103,36;1,6;103,79;2,3;0,4
01/10/2021;109,75;3,1;105,05;1,6;105,10;1,3;0,0
01/01/2022;99,68;8,3;106,17;1,1;106,62;1,5;0,5
01/04/2022;108,20;5,1;106,38;0,2;106,60;-0,0;0,2
01/07/2022;108,42;1,6;106,17;-0,2;105,88;-0,7;-0,3
01/10/2022;108,81;-0,9;105,89;-0,3;105,79;-0,1;-0,1
01/01/2023;99,93;0,3;105,55;-0,3;105,73;-0,1;0,2
01/04/2023;106,37;-1,7;105,23;-0,3;105,24;-0,5;0,0
01/07/2023;107,06;-1,3;105,13;-0,1;105,24;0,0;0,1
01/10/2023;107,52;-1,2;105,37;0,2;105,18;-0,1;-0,2
01/01/2024;99,45;-0,5;105,74;0,4;106,18;1,0;0,4
